cg00008629	9:114593661-115593661
cg15085883	12:68348994-69348994
cg15193228	22:30355332-31355332
cg15251256	12:45601447-46601447
cg15302376	2:25060263-26060263
cg15310871	8:19577936-20577936
cg15321908	3:52687213-53687213
cg15357118	2:128427972-129427972
cg15413523	5:132951625-133951625
cg15428620	10:102292835-103292835
cg15429134	12:12119103-13119103
cg15450224	4:166033691-167033691
cg15458222	3:120880533-121880533
cg15466952	1:65389855-66389855
cg15484033	3:85724327-86724327
cg15489693	4:9998037-10998037
cg15498134	1:24746854-25746854
cg15521790	11:95389454-96389454
cg15551881	9:123188715-124188715
cg15553397	1:76195186-77195186
cg15672022	5:141305772-142305772
cg15681239	3:37580203-38580203
cg15696506	4:57447735-58447735
cg15697257	5:149520212-150520212
cg15721584	3:180826755-181826755
cg15773890	6:16759549-17759549
cg15775914	1:241299084-242299084
cg15777760	16:29332180-30332180
cg15809077	2:111962079-112962079
cg15829728	20:30674419-31674419
cg15835339	10:10328105-11328105
cg15860624	19:3311194-4311194
cg15867698	14:68938267-69938267
cg15880704	10:112046110-113046110
cg15883716	1:173138701-174138701
cg15888569	4:14533042-15533042
cg15901722	5:175474973-176474973
cg15908708	2:218530830-219530830
cg15947301	17:2962082-3962082
cg15962267	5:138112986-139112986
cg15981982	2:8185837-9185837
cg15985157	6:131968790-132968790
cg16006965	3:111352325-112352325
cg16015295	17:78293479-79293479
cg16037711	1:58780841-59780841
cg16097041	1:154465544-155465544
cg16116407	2:231352154-232352154
cg16151960	5:133390280-134390280
cg16163382	2:37438640-38438640
cg16263152	1:182787819-183787819
cg16277071	17:75037317-76037317
cg16291589	20:5523178-6523178
cg16292768	8:26967783-27967783
cg16300565	5:31888665-32888665
cg16305292	8:141719965-142719965
cg16321846	7:3550114-4550114
cg16324306	14:93286330-94286330
cg16371518	11:46064493-47064493
cg16379999	14:81476516-82476516
cg16386080	9:90089146-91089146
cg16398761	14:73720238-74720238
cg16401207	10:52682118-53682118
cg16417416	4:5784031-6784031
cg16429725	16:57298273-58298273
cg16463452	13:28695249-29695249
cg16463460	11:31954718-32954718
cg16506910	6:71614693-72614693
cg16519923	16:29985810-30985810
cg16522412	13:33426811-34426811
cg16548961	5:176428448-177428448
cg16551670	5:106137856-107137856
cg16558846	14:105873308-106873308
cg16565913	4:40132362-41132362
cg16572224	5:171288937-172288937
cg16589830	1:211784214-212784214
cg16594273	16:57631312-58631312
cg16594502	15:39839900-40839900
cg16649298	7:158164174-159164174
cg16655795	19:42397238-43397238
cg16661761	8:22662383-23662383
cg16663980	1:158309049-159309049
cg16664584	1:93954989-94954989
cg16677191	5:94659423-95659423
cg16691087	20:19536684-20536684
cg16708465	13:95433097-96433097
cg16717723	8:1672215-2672215
cg16734549	17:42988551-43988551
cg16736826	1:41451512-42451512
cg16739178	16:84970674-85970674
cg16743273	19:1576833-2576833
cg16755833	17:80366063-81366063
cg16755922	17:80036214-81036214
cg16757384	12:124530150-125530150
cg16759787	14:85167733-86167733
cg16795184	16:56277257-57277257
cg16805291	7:35522575-36522575
cg16809457	6:89899677-90899677
cg16815882	1:35408609-36408609
cg16824319	1:248403933-249403933
cg16903811	22:20816245-21816245
cg16905822	10:424646-1424646
cg16936953	17:57415665-58415665
cg16949914	10:5604515-6604515
cg16969872	13:79468324-80468324
cg17002328	14:91251773-92251773
cg17011453	1:81037650-82037650
cg17018786	15:40159816-41159816
cg17062268	12:4853230-5853230
cg17066943	6:33692320-34692320
cg17108423	6:170059792-171059792
cg17150809	6:98961062-99961062
cg17178175	2:177609973-178609973
cg17214023	2:9676748-10676748
cg17215278	1:116614263-117614263
cg17260706	11:118282879-119282879
cg17281677	12:6158557-7158557
cg17345741	14:68972652-69972652
cg17411016	2:46600912-47600912
cg17417049	13:114317960-115317960
cg17423650	1:184718725-185718725
cg17443080	9:139057460-140057460
cg17460386	1:206595668-207595668
cg17466510	1:116377566-117377566
cg17467525	1:9186523-10186523
cg17473656	4:189786944-190786944
cg17501210	6:166470252-167470252
cg17580616	11:46850136-47850136
cg17588094	8:128255270-129255270
cg17588294	2:129048156-130048156
cg17602444	7:144819-1144819
cg17603909	11:4009357-5009357
cg17642041	3:45428007-46428007
cg17666418	6:106112002-107112002
cg17680767	5:73123208-74123208
cg17743381	1:38524825-39524825
cg17782974	10:103906990-104906990
cg17822325	1:31396462-32396462
cg17827328	1:36317299-37317299
cg17827670	7:128508130-129508130
cg17863076	2:78812664-79812664
cg17890233	7:5965684-6965684
cg17901584	1:54853706-55853706
cg17907003	1:117033414-118033414
cg17953136	2:19732577-20732577
cg17953300	11:64918265-65918265
cg17980786	3:32433637-33433637
cg18020072	6:31090640-32090640
cg18062721	3:11143427-12143427
cg18087306	19:1946487-2946487
cg18091083	17:78319092-79319092
cg18098839	3:167242700-168242700
cg18099096	4:23436764-24436764
cg18101225	4:15464913-16464913
cg18119407	2:201480504-202480504
cg18120259	6:43394639-44394639
cg18125510	14:100341768-101341768
cg18181703	17:75854621-76854621
cg18192491	6:113884871-114884871
cg18194850	3:67199305-68199305
cg18196453	6:124834555-125834555
cg18217136	20:35657651-36657651
cg18222865	11:14164689-15164689
cg18241337	3:155771892-156771892
cg18280125	4:3927113-4927113
cg18283844	1:113995894-114995894
cg18330338	5:8547211-9547211
cg18362281	7:156704364-157704364
cg18369972	17:9440121-10440121
cg18372930	5:137439469-138439469
cg18376497	4:142988622-143988622
cg18387985	11:14850125-15850125
cg18394552	5:158928643-159928643
cg18404811	17:0-903288
cg18442362	7:44177772-45177772
cg18450254	3:63700005-64700005
cg18482303	2:134541380-135541380
cg18513344	3:195031298-196031298
cg18518074	11:64142316-65142316
cg18520851	5:114649189-115649189
cg18561976	2:204301508-205301508
cg18571531	11:69977192-70977192
cg18595867	1:47399212-48399212
cg18645493	1:153667437-154667437
cg18680181	14:35129311-36129311
cg18712349	14:84714861-85714861
cg18721397	5:32084912-33084912
cg18722504	5:139212966-140212966
cg18734877	8:26797419-27797419
cg18772573	17:70757980-71757980
cg18816534	5:157885443-158885443
cg18826637	2:144616633-145616633
cg18860310	4:87252504-88252504
cg18876826	1:37896334-38896334
cg18879828	11:46442432-47442432
cg18897025	5:109913671-110913671
cg18995788	8:62173444-63173444
cg19001023	14:105399307-106399307
cg19016694	17:80321826-81321826
cg19017142	2:63931245-64931245
cg19050940	13:75945108-76945108
cg19074393	10:131182452-132182452
cg19090437	4:37580799-38580799
cg19103429	7:91960784-92960784
cg19103704	19:39940963-40940963
cg19134130	17:72330151-73330151
cg19202384	17:79394511-80394511
cg19246654	7:138820460-139820460
cg19268652	6:11619552-12619552
cg19351166	2:208633632-209633632
cg19351628	12:57746612-58746612
cg19352726	6:42257805-43257805
cg19373099	2:209508092-210508092
cg19380303	15:89672193-90672193
cg19405484	8:29013210-30013210
cg19411922	8:81512575-82512575
cg19445588	12:116404641-117404641
cg19458497	11:62903371-63903371
cg19459791	15:64863022-65863022
cg19465320	17:39926890-40926890
cg19557110	17:3582271-4582271
cg19572487	17:37976024-38976024
cg19578660	10:3011600-4011600
cg19588519	10:125317817-126317817
cg19589396	8:103437374-104437374
cg19607021	5:138604833-139604833
cg19619585	15:100670019-101670019
cg19631651	3:54505522-55505522
cg19638572	1:206233139-207233139
cg19674091	15:90143766-91143766
cg19693031	1:144941552-145941552
cg19695507	10:13026193-14026193
cg19728382	5:172257276-173257276
cg19750657	13:38435967-39435967
cg19769147	14:105360954-106360954
cg19788934	12:120955706-121955706
cg19821297	19:12390029-13390029
cg19838043	14:103696038-104696038
cg19845878	4:1242857-2242857
cg19859270	3:97751294-98751294
cg19881557	14:20467426-21467426
cg19918734	11:85843931-86843931
cg19925780	1:101009557-102009557
cg19939077	10:80608060-81608060
cg19940644	1:11612386-12612386
cg19947463	7:613237-1613237
cg19956914	7:55647257-56647257
cg20000464	11:75761997-76761997
cg20018806	11:59133874-60133874
cg20045320	11:0-819555
cg20130744	10:19939553-20939553
cg20146909	1:89789611-90789611
cg20155035	1:234591106-235591106
cg20160197	4:722037-1722037
cg20212624	17:39623227-40623227
cg20228385	12:55530407-56530407
cg20248822	1:19422867-20422867
cg20253855	7:101262511-102262511
cg20309891	17:41239130-42239130
cg20338754	18:29177086-30177086
cg20348000	10:88115964-89115964
cg20357806	4:74353779-75353779
cg20408175	12:53193169-54193169
cg20451986	11:133428302-134428302
cg20456243	2:219852476-220852476
cg20460366	20:44434032-45434032
cg20494738	12:124485889-125485889
cg20510033	1:8460134-9460134
cg20519581	20:48459844-49459844
cg20585830	22:21498385-22498385
cg20641531	7:7802731-8802731
cg20651995	2:69025471-70025471
cg20671910	1:150762619-151762619
cg20680726	1:11754723-12754723
cg20692268	1:24858981-25858981
cg20697417	1:41286797-42286797
cg20702417	2:25038295-26038295
cg20703242	1:229779135-230779135
cg20775254	2:95440705-96440705
cg20782117	7:95365631-96365631
cg20784591	7:99472461-100472461
cg20793665	2:232049224-233049224
cg20813374	6:35157180-36157180
cg20842915	7:39165132-40165132
cg20871826	17:3290402-4290402
cg20907614	8:29414963-30414963
cg20952257	5:170574407-171574407
cg20981219	14:76885200-77885200
cg20995564	2:144672035-145672035
cg21066748	19:45505805-46505805
cg21101086	2:39336209-40336209
cg21106695	14:96870064-97870064
cg21108085	11:44091098-45091098
cg21113318	14:92483645-93483645
cg21120249	9:139421971-140421971
cg21121609	19:7266960-8266960
cg21121843	4:2703982-3703982
cg21139312	17:55163225-56163225
cg21161138	5:0-899360
cg21171320	9:72678360-73678360
cg21187669	17:17429033-18429033
cg21190595	11:2571167-3571167
cg21196930	6:22714308-23714308
cg21232015	12:132924221-133924221
cg21241410	2:42767816-43767816
cg21322248	15:76789047-77789047
cg21393163	1:11717629-12717629
cg21416544	12:8486988-9486988
cg21429551	7:30135762-31135762
cg21462693	6:31682174-32682174
cg21486834	17:73977542-74977542
cg21535931	8:144529603-145529603
cg21564495	22:48523277-49523277
cg21566642	2:232784661-233784661
cg21604136	1:9410137-10410137
cg21653474	6:97761988-98761988
cg21703988	12:132049404-133049404
cg21727145	15:100958127-101958127
cg21815220	1:650410-1650410
cg21932513	1:17251974-18251974
cg21946631	7:90379360-91379360
cg21979773	17:25156373-26156373
cg21990700	12:6760776-7760776
cg22052056	20:30851813-31851813
cg22069247	2:231893256-232893256
cg22103219	7:101434892-102434892
cg22129111	17:7509699-8509699
cg22146612	6:17215219-18215219
cg22169889	2:168781609-169781609
cg22304262	19:46787778-47787778
cg22363368	2:58626860-59626860
cg22365167	11:61806861-62806861
cg22383924	1:3090479-4090479
cg22396959	1:56513771-57513771
cg22407942	7:22394828-23394828
cg22448090	1:200478598-201478598
cg22460173	19:6036042-7036042
cg22488164	12:14216910-15216910
cg22502001	1:1860018-2860018
cg22508831	22:40073204-41073204
cg22532234	19:39729215-40729215
cg22534374	1:201011610-202011610
cg22579075	7:93750352-94750352
cg22590032	5:179550565-180550565
cg22593432	13:32075905-33075905
cg22626683	1:172403051-173403051
cg22635096	21:46050644-47050644
cg22663933	7:4757805-5757805
cg22672060	4:155964550-156964550
cg22688566	17:26959835-27959835
cg22690339	6:37749061-38749061
cg22748815	7:99465437-100465437
cg22753611	6:16972892-17972892
cg22768358	11:113447148-114447148
cg22798121	5:152396564-153396564
cg22805381	14:51260188-52260188
cg22868961	6:135096044-136096044
cg22870429	3:113527859-114527859
cg22881435	8:37232086-38232086
cg22882902	12:132516446-133516446
cg22898082	19:10574428-11574428
cg22902505	4:80619473-81619473
cg22908922	14:105355008-106355008
cg22953759	5:10132397-11132397
cg22959742	10:13413931-14413931
cg22964469	11:120837508-121837508
cg22985172	6:150758337-151758337
cg22995042	10:3593925-4593925
cg23004527	19:2890353-3890353
cg23005227	3:50145426-51145426
cg23006040	4:188028319-189028319
cg23017398	19:41625367-42625367
cg23038277	1:226333134-227333134
cg23043143	7:2112101-3112101
cg23055674	7:99454284-100454284
cg23101885	2:17196025-18196025
cg23119026	2:20276830-21276830
cg23172671	1:202982523-203982523
cg23173586	14:20445319-21445319
cg23212590	1:42145349-43145349
cg23229770	2:128991004-129991004
cg23232188	3:121056543-122056543
cg23236366	1:201277257-202277257
cg23237276	14:101327449-102327449
cg23261443	7:101096340-102096340
cg23318538	10:26383079-27383079
cg23320499	12:12159177-13159177
cg23327334	5:176355304-177355304
cg23371436	11:19611534-20611534
cg23371680	2:31011030-32011030
cg23429047	2:128528542-129528542
cg23475474	17:63027924-64027924
cg23540819	8:17440228-18440228
cg23542902	3:193307749-194307749
cg23547429	11:56695025-57695025
cg23551198	17:3085166-4085166
cg23556574	10:13481154-14481154
cg23560388	6:155042639-156042639
cg23606775	1:9290616-10290616
cg23629393	14:47408980-48408980
cg23683800	10:114586103-115586103
cg23684410	11:116397558-117397558
cg23721083	15:68182927-69182927
cg23722790	1:66967602-67967602
cg23729283	7:28540109-29540109
cg23732483	3:48465611-49465611
cg23740758	6:10824433-11824433
cg23752007	7:36929500-37929500
cg23754918	7:2153733-3153733
cg23759710	2:42490957-43490957
cg23761815	10:72583123-73583123
cg23801885	6:33958902-34958902
cg23813257	16:2615286-3615286
cg23824762	2:96671137-97671137
cg23829102	4:123976694-124976694
cg23842572	17:16530253-17530253
cg23866916	19:655738-1655738
cg23886355	13:113162042-114162042
cg23895495	7:47039837-48039837
cg23900712	15:98844807-99844807
cg23902264	1:241315413-242315413
cg23919111	14:95483256-96483256
cg23935522	12:76662317-77662317
cg23953820	6:30351051-31351051
cg23966214	17:47703188-48703188
cg23974023	2:113044294-114044294
cg24002003	15:101168143-102168143
cg24048338	8:42546482-43546482
cg24067911	6:16229610-17229610
cg24086068	4:76856008-77856008
cg24124145	4:139436112-140436112
cg24129923	17:7314251-8314251
cg24140775	19:54673997-55673997
cg24145109	1:5306951-6306951
cg24152264	1:232320610-233320610
cg24162801	1:184004284-185004284
cg24174557	17:57403544-58403544
cg24215776	11:64652051-65652051
cg24263283	15:59087546-60087546
cg24287110	10:3324687-4324687
cg24296397	3:49192537-50192537
cg24304210	11:76618761-77618761
cg24304848	11:44264716-45264716
cg24327132	15:72020632-73020632
cg24328944	13:95756596-96756596
cg24333621	7:133494445-134494445
cg24362829	1:177955607-178955607
cg24365837	1:10009935-11009935
cg24389054	7:26694013-27694013
cg24397007	2:28119094-29119094
cg24403644	20:42074624-43074624
cg24425149	13:75491251-76491251
cg24469729	7:26660520-27660520
cg24495667	1:235679604-236679604
cg24512093	3:78198151-79198151
cg24531955	8:22654691-23654691
cg24550026	1:113930031-114930031
cg24568579	12:111341024-112341024
cg24621042	14:94357275-95357275
cg24632582	15:40733701-41733701
cg24678869	1:153419638-154419638
cg24679890	19:16746356-17746356
cg24681499	1:42206997-43206997
cg24694018	1:144957621-145957621
cg24704287	19:13451481-14451481
cg24707889	21:45841304-46841304
cg24708145	5:134280343-135280343
cg24711224	5:176061865-177061865
cg24721964	3:150162697-151162697
cg24741430	15:66595711-67595711
cg24795903	17:36499666-37499666
cg24854010	12:1226033-2226033
cg24921221	8:12084192-13084192
cg24925163	2:127958248-128958248
cg24935556	2:20791088-21791088
cg24954967	3:45630858-46630858
cg25001190	1:61168835-62168835
cg25003924	15:52361754-53361754
cg25064552	1:153438859-154438859
cg25100871	3:51539819-52539819
cg25112191	1:151304260-152304260
cg25114611	6:35196870-36196870
cg25130381	1:26940721-27940721
cg25132241	14:91896859-92896859
cg25178683	17:76476267-77476267
cg25189904	1:67799493-68799493
cg25198113	1:5243886-6243886
cg25205489	13:23625993-24625993
cg25217710	1:156109523-157109523
cg25230327	8:81542993-82542993
cg25250132	10:43204423-44204423
cg25278941	6:139295527-140295527
cg25281677	11:56748038-57748038
cg25320169	2:206141630-207141630
cg25325512	6:36642220-37642220
cg25362050	17:37970900-38970900
cg25363679	12:70531202-71531202
cg25368647	5:176236591-177236591
cg25375916	3:155070275-156070275
cg25376310	6:157518910-158518910
cg25376491	5:178692524-179692524
cg25423174	3:11736303-12736303
cg25446789	2:25310393-26310393
cg25508605	15:92206125-93206125
cg25517015	19:17084020-18084020
cg25551219	22:50409865-51409865
cg25604616	10:59608454-60608454
cg25616160	17:39155863-40155863
cg25621991	5:142442670-143442670
cg25625127	5:137477051-138477051
cg25625514	11:76035564-77035564
cg25630380	1:156284869-157284869
cg25649826	17:20438740-21438740
cg25649895	17:47856195-48856195
cg25653947	8:143943217-144943217
cg25673598	17:18707476-19707476
cg25691553	3:48557884-49557884
cg25711003	3:111022050-112022050
cg25722644	8:6194415-7194415
cg25739715	22:30163881-31163881
cg25769469	5:71143841-72143841
cg25771113	3:29640788-30640788
cg25782293	7:157721401-158721401
cg25790365	15:50049957-51049957
cg25817701	7:1640143-2640143
cg25889918	2:179416184-180416184
cg25921813	3:194297138-195297138
cg25922329	8:128411766-129411766
cg25953130	10:63253550-64253550
cg25966016	10:133853618-134853618
cg25983901	7:46472700-47472700
cg26020069	6:51882441-52882441
cg26034658	11:65336743-66336743
cg26063719	10:16773187-17773187
cg26117398	13:29618190-30618190
cg26152188	5:363294-1363294
cg26161997	4:123781050-124781050
cg26165146	12:26984656-27984656
cg26170244	15:64676353-65676353
cg26180383	8:128561048-129561048
cg26182406	14:104991309-105991309
cg26189283	1:154609378-155609378
cg26192309	1:211265568-212265568
cg26221105	1:223414343-224414343
cg26227957	1:19047285-20047285
cg26253134	2:70251721-71251721
cg26305504	19:447612-1447612
cg26307105	19:17361017-18361017
cg26315985	1:64863870-65863870
cg26340740	11:58480377-59480377
cg26341831	1:225536279-226536279
cg26354221	22:24322802-25322802
cg26361533	12:1945561-2945561
cg26376241	2:65094021-66094021
cg26403843	5:158134085-159134085
cg26405097	6:14928301-15928301
cg26417554	3:9386232-10386232
cg26432350	3:46540357-47540357
cg26470501	19:44752955-45752955
cg26501007	8:126114261-127114261
cg26542660	4:56313860-57313860
cg26547058	8:141743143-142743143
cg26550214	5:34109493-35109493
cg26562462	4:6429045-7429045
cg26572392	10:23996943-24996943
cg26576544	7:37816654-38816654
cg26581729	9:139439792-140439792
cg26599989	11:797087-1797087
cg26610247	8:141797175-142797175
cg26645237	5:157233288-158233288
cg26647771	5:32268395-33268395
cg26663590	16:28459310-29459310
cg26667287	22:45919365-46919365
cg26680608	6:136415556-137415556
cg26687842	13:40555491-41555491
cg26719625	17:15822482-16822482
cg26725076	12:132069963-133069963
cg26804423	7:7701134-8701134
cg26810908	1:237554569-238554569
cg26836479	19:42206353-43206353
cg26846781	17:61120942-62120942
cg26867370	13:99762973-100762973
cg26878655	17:37981877-38981877
cg26894079	11:122454435-123454435
cg26905258	13:77398407-78398407
cg26913669	1:103074958-104074958
cg26925669	17:37411329-38411329
cg26927218	17:78554044-79554044
cg26943120	4:4972116-5972116
cg26952928	8:141730233-142730233
cg26955383	10:104718660-105718660
cg27016579	5:168278028-169278028
cg27018424	6:32673425-33673425
cg27020362	5:138223394-139223394
cg27049094	2:74567716-75567716
cg27050612	17:45633198-46633198
cg27061485	16:88489387-89489387
cg27093403	12:24583077-25583077
cg27093918	16:69064625-70064625
cg27108889	3:127792314-128792314
cg27115863	22:37421640-38421640
cg27117792	12:101830180-102830180
cg27185793	1:738797-1738797
cg27209729	11:63928925-64928925
cg27217148	10:104611158-105611158
cg27241845	2:232750370-233750370
cg27243685	21:43142366-44142366
cg27269962	7:127040997-128040997
cg27280535	8:8246679-9246679
cg27303735	6:30209605-31209605
cg27305772	11:65130355-66130355
cg27307975	15:58297839-59297839
cg27310092	1:151445663-152445663
cg27337540	7:130198005-131198005
cg27365342	6:12381417-13381417
cg27380915	7:12296513-13296513
cg27407935	17:17223235-18223235
cg27537125	1:24849681-25849681
cg27552711	1:26832282-27832282
cg27563121	15:51905647-52905647
cg27571769	4:185204063-186204063
cg27661394	4:4161952-5161952
cg27662789	12:43166281-44166281
ch.1.171672612F	1:172905989-173905989
ch.1.839062R	1:24782539-25782539
ch.12.4168779F	12:3798518-4798518
ch.13.39564907R	13:40166907-41166907
ch.14.1488981R	14:92577342-93577342
ch.14.68214257F	14:68644504-69644504
ch.14.97331099F	14:97761346-98761346
ch.15.67797584R	15:69510530-70510530
ch.19.21460585R	19:21168745-22168745
ch.2.105901354F	2:106034922-107034922
ch.2.207814544R	2:207606299-208606299
ch.2.30415474F	2:30061970-31061970
ch.2.47286786F	2:46933282-47933282
ch.6.33611621F	6:33003643-34003643
ch.7.102590751F	7:102303515-103303515
